meanR;meanG;meanB;stdR;stdG;stdB;skewR;skewG;skewB;kurR;kurG;kurB;entR;entG;entB;Class
16.90893314;14.38215375;3.605125894;42.76101133;37.19873365;12.26911196;2.35138311;2.481172563;4.749789085;4.047937636;4.787383446;27.09730531;11.19771466;11.1728412;10.86274062;1
21.14892289;16.74021704;4.132525502;51.92063117;41.85470935;13.89277555;2.214513639;2.316197741;4.567911256;3.293271025;3.828024172;24.16647719;11.23988466;11.22004819;10.8865431;1
20.13308794;17.50200898;4.722939395;49.12868513;43.36922473;15.35414252;2.24786467;2.327756051;4.172161032;3.622110628;4.046347685;19.39260127;11.25717394;11.23962446;10.91260662;1
19.0311614;15.16981401;4.704662075;48.08823064;38.84454949;14.14803579;2.275170186;2.361113191;3.861208533;3.561712295;4.064592931;17.72086321;11.18427135;11.17039109;11.01871795;1
18.61297692;15.7658677;4.890320667;48.80545924;41.82421572;14.9026503;2.381196592;2.461043251;3.854004017;4.036441465;4.526623247;17.21918587;11.11931769;11.10731623;10.98322774;1
21.44658954;17.52961084;5.012496918;52.70812861;43.58081892;14.75506949;2.150557119;2.215734015;3.697330566;2.864353453;3.203574193;15.740921;11.22576626;11.2132241;11.05254069;1
19.76771296;16.91046251;4.384804148;49.15208115;42.44106039;12.98109023;2.182134678;2.235511723;4.026852587;3.007259446;3.281214559;20.5899138;11.20488724;11.19493575;11.05414541;1
20.8309892;16.64151874;4.408646142;49.62146069;40.09507129;13.21832045;2.079196829;2.147281733;4.173042979;2.592587875;2.957367874;21.68639347;11.2829853;11.27095222;11.0619133;1
17.5751356;15.43481493;4.744500817;42.91310998;38.10574734;14.97645335;2.226798755;2.296290451;3.921707985;3.491604415;3.89082913;17.04697491;11.25111019;11.23950824;10.94703272;1
19.74439103;16.76836978;5.113217687;48.77788268;41.92175557;15.15581581;2.211305392;2.2852849;3.804101668;3.249415202;3.665943659;16.97176559;11.22487533;11.21231762;11.04560469;1
17.74255347;13.70806945;4.775827863;46.46945547;36.58836762;15.07135096;2.421458795;2.54896379;3.905061631;4.354128454;5.160371458;16.87190372;11.12876913;11.10890878;10.93013698;1
15.57758568;13.2878548;4.780751125;40.25624283;34.87408097;14.83530472;2.365717963;2.483525757;3.905233219;4.020730603;4.783786698;17.66996658;11.15059356;11.13568007;10.95742717;1
20.26610269;16.01335791;4.129287629;49.06981396;39.51892162;13.09261466;2.1544094;2.269687664;4.435766539;2.999876431;3.638174972;24.48057328;11.25942328;11.23928176;10.97461205;1
23.46610924;21.23497404;5.961141673;53.01699191;48.62111469;16.84649915;2.00701419;2.06557625;3.554609045;2.422817628;2.677671345;14.23640907;11.38842059;11.37281046;11.1383839;1
15.53943617;13.58001841;5.089583719;41.36368881;36.60563157;15.53335045;2.417444988;2.501058009;3.753395792;4.198749256;4.708447866;16.33672268;11.09139787;11.07807392;10.96224582;1
16.31937639;12.89171328;4.494720399;41.79406779;33.41741034;13.81849434;2.322477599;2.398994193;4.163833452;3.769261526;4.224054523;21.7794832;11.16424411;11.15129539;10.99136931;1
20.64470075;18.65013252;4.996654262;50.68339663;45.88944377;14.69536444;2.177147324;2.183058406;3.687438122;3.071832766;3.080798472;15.94991327;11.23199867;11.22904803;11.05027525;1
17.1047137;14.74058108;4.07562292;44.42347924;38.54629561;12.86925285;2.359854013;2.39433194;4.195162415;3.969710914;4.147606048;21.82747145;11.13686578;11.1287948;10.9433053;1
24.0017451;20.66513537;5.2011295;54.93710035;47.59574265;14.78695581;1.942089491;1.97673703;3.616055212;1.98890771;2.152449264;15.04464296;11.34494933;11.33845463;11.12843917;1
